idx,lat,long,alt,impValue,valYear,stories,zipCode,squareFeet,mktValue,className,disRate,selfMoveYear,motMoveYear,selfMoveFlag,motiMoveFlag,freeRiderFlag,movedOutFlag,property,cumuLoss
1137,29.251964,-94.869153,1.5,202970,2018,1,77554,8799,235770,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1138,29.286365,-94.827435,1.6,96820,2018,1,77551,4182,114460,L,0.18,24,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1139,29.297169,-94.79947,1.1,54610,2018,1,77550,1176,59090,L,0.18,1,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1140,29.29017,-94.811198,2.8,103040,2018,1,77550,5140,122120,L,0.18,200,34,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1141,29.291487,-94.811648,1.4,73270,2018,1,77550,2570,81370,L,0.18,15,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1142,29.261317,-94.844772,1.5,158570,2018,1,77551,8625,187380,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1143,29.294183,-94.791426,1.5,139460,2018,1,77550,4356,155960,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1144,29.126341,-95.072315,2.8,77040,2018,1,77554,18644,109720,L,0.18,200,41,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1145,29.275635,-94.835468,3.9,75310,2018,1,77551,3615,87340,L,0.18,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1146,29.277688,-94.810131,1.4,146900,2018,1,77550,8146,192800,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1147,29.28772,-94.812922,2.2,94770,2018,1,77550,5009,110960,L,0.18,44,24,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1148,29.287382,-94.826965,3.1,72080,2018,1,77551,2962,82580,L,0.18,200,44,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1149,29.275786,-94.841243,2.9,84180,2018,1,77551,6229,92720,L,0.18,200,38,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1150,29.28722,-94.806428,1.6,204130,2018,1,77550,8364,238750,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1151,29.187163,-94.974302,2.8,163300,2018,1,77554,7444,185360,M,0.12,20,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1152,29.299331,-94.783094,3.4,82730,2018,1,77550,2875,98940,L,0.18,200,44,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1153,29.260604,-94.843677,1.3,180770,2018,1,77551,6578,208650,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1154,29.281545,-94.825694,1.3,124420,2018,1,77551,2962,134920,L,0.18,5,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1155,29.289434,-94.799061,2.8,213800,2018,1,77550,5009,232880,M,0.12,11,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1156,29.304926,-94.775407,3.8,30700,2018,1,77550,2570,40240,L,0.18,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1157,29.302277,-94.779936,2,48870,2018,1,77550,1699,55260,L,0.18,45,23,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1158,29.284977,-94.803974,1,161420,2018,1,77550,5140,180530,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1159,29.284256,-94.827852,2.2,97350,2018,1,77551,7841,108350,L,0.18,43,24,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1160,29.284114,-94.826714,1.4,110200,2018,1,77551,5968,134950,L,0.18,12,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1161,29.133461,-95.050388,1.4,318110,2018,1,77554,7362,455010,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1162,29.288882,-94.826946,1.2,80050,2018,1,77551,5968,101050,L,0.18,4,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1163,29.279135,-94.828381,3.5,91820,2018,1,77551,6142,100440,L,0.18,200,42,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
1164,29.284598,-94.828633,1.6,101220,2018,1,77551,4182,118860,L,0.18,24,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
1165,29.283142,-94.801884,4.4,149360,2018,1,77550,5097,168340,M,0.12,200,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1166,29.30377,-94.775328,1.4,138790,2018,1,77550,5140,173620,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1167,29.136548,-95.061818,1.5,294070,2018,1,77554,5097,355510,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1168,29.286674,-94.795637,1.7,163080,2018,1,77550,4269,178980,M,0.12,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
